study_id,item_id,item_filename,tester_id,tester_external_id,tester_display_name,tester_quality_grade,item_question,tester_item_answer,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,notes
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,68.097338935574,88,22892,23053,161,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,49.573412698413,101.55555555556,23474,23629,155,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,43.771825396825,99.166666666667,23812,23941,129,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,43.60119047619,97.639784946237,23974,24104,130,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,44.113095238095,93,24162,24337,175,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,76.875,64.888888888889,24713,24826,113,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,28.213773681516,71.666666666667,24945,25080,135,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,29.52380952381,71.666666666667,25114,25397,283,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,21.759920634921,73.412186379928,25446,25598,152,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,71.5,68.666666666667,25666,25822,156,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,71.5,67.607407407407,25838,26307,469,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,34.89880952381,90.198653198653,26753,26885,132,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,27.176286676287,33.703703703704,27613,27753,140,
